review_number,brand,variety,style,country,stars
3180,Yum Yum,Tem Tem Tom Yum Moo Deng,Cup,Thailand,3.75
3179,Nagatanien,tom Yum Kung Rice Vermicelli,Pack,Japan,2
3178,Acecook,Kelp Broth Shio Ramen,Cup,Japan,2.5
3177,Maison de Coree,Ramen Gout Coco Poulet,Cup,France,3.75
3176,Maruchan,Gotsumori Shio Yakisoba,Tray,Japan,5
3175,Myojo,Chukazanmai Tantanmen,Cup,Japan,3.5
3174,TIEasy,Sesame Sauce Handmade Noodle,Pack,Taiwan,3.75
3173,Sapporo Ichiban,Momosan Ramen Tonkotsu,Pack,United States,5
3172,Samlip,Hi-Myon Katsuo Udon,Pack,South Korea,3.5
3171,Doll,Bowl Noodle Satay & Beef Flavour,Bowl,Hong Kong,4.25
3170,Maison de Coree,Ramen Gout Carbonara,Cup,France,4
3169,Myojo,Mapo Men,Cup,Japan,3.5
3168,New Touch,Chashu Ramen,Bowl,Japan,2.75
3167,Vedan,Jhen Mian Tang Braised Beef Noodles With Ginger,Box,Taiwan,1.5
3166,Kinchan,Niku Udon With Wakame,Cup,Japan,3.75
3165,Mamee / Shinsegae,Daebak Spicy Kimchi,Pack,Malaysia,4.5
3164,Kenko Foods,Health Shio Ramen,Pack,Japan,3.5
3163,Mom's Dry Noodle,Spicy Hot Pot Noodle,Box,Taiwan,3
3162,Sapporo Ichiban,Mentaiko Tonkotsu Ramen,Bowl,Japan,3.75
3161,Sakurai Foods,Vegetarian Soymilk Spicy Ramen,Pack,Japan,5
3160,Mazendo,Noodles With Chili Mala Sauce,Pack,Taiwan,5
3159,Sichuan Baijia,Big Boss Hot & Sour Sweet Potato Vermicelli,Cup,China,1.5
3158,Simply Asia,Singapore Street Noodles Classic Curry,Box,United States,0
3157,TIEasy,Traditional Scallion Sliced Noodle,Pack,Taiwan,5
3156,Nongshim,Spicy Gamjatang,Pack,South Korea,5
3155,Jinmailang,Cup Noodles Slow Roast Beef Flavor,Cup,China,2.5
3154,Acecook,Super Cup Pork Kimchi Ramen,Bowl,Japan,3
3153,Maison de Coree,Ramen Gout BBQ Coree,Cup,France,5
3152,Maruchan,QTTA Curry Ramen,Cup,Japan,5
3151,Hakubaku,Shoyu Soy Sauce Flavor Ramen,Pack,United States,5
3150,Hakubaku,Baby Somen,Pack,Japan,NA
3149,Hakubaku,Baby Udon,Pack,Japan,NA
3148,Hakubaku,Tonkotsu Pork Flavor Ramen,Pack,United States,5
3147,Samyang Foods,Buldak Mini,Pack,South Korea,4
3146,Nissin,Yakisoba Instant Pancit Spicy Chicken Flavor,Cup,Philippines,4.25
